Data,Lançamento,Valor,MesRef,ParcelaAtual,ParcelaTotal,Parcela,Lancamento_Limpo,Categoria
2025-12-12,CAPPTA *FONTOLAN ALIME BARUERI BRA,163.28,2026-01,,,,CAPPTA *FONTOLAN ALIME BARUERI BRA,Compras & Casa
2025-12-12,MARAVILHAS DO LAR ITAPETININGA BRA,60.44,2026-01,,,,MARAVILHAS DO LAR ITAPETININGA BRA,Compras & Casa
2025-12-11,AMAZONMKTPLC*ALBHA01/05,30.78,2026-01,1,5,01/05,AMAZONMKTPLC*ALBHA,Compras & Casa
2025-12-11,CLINICA*Lordani Ce01/12,316.74,2026-01,1,12,01/12,CLINICA*Lordani Ce,Saúde
2025-12-11,MERCADOLIVRE*4PROD01/04,63.76,2026-01,1,4,01/04,MERCADOLIVRE*4PROD,Compras & Casa
2025-12-11,MERCADOLIVRE*4PROD01/02,28.46,2026-01,1,2,01/02,MERCADOLIVRE*4PROD,Compras & Casa
2025-12-11,COFESA LJ 18 ITAPETININGA BRA,57.86,2026-01,,,,COFESA LJ 18 ITAPETININGA BRA,Compras & Casa
2025-12-11,APPLE.COM/BILL SAO PAULO BRA,5.9,2026-01,,,,APPLE.COM/BILL SAO PAULO BRA,Streaming/Assinaturas
2025-12-10,59617065Danieli ITAPETININGA BRA,13.9,2026-01,,,,59617065Danieli ITAPETININGA BRA,Outros
2025-12-09,DM*Spotify SAO PAULO BRA,40.9,2026-01,,,,DM*Spotify SAO PAULO BRA,Streaming/Assinaturas
2025-12-08,NETFLIX.COM SAO PAULO BRA,20.9,2026-01,,,,NETFLIX.COM SAO PAULO BRA,Streaming/Assinaturas
2025-12-08,DROGASIL3278 ITAPETININGA BRA,116.21,2026-01,,,,DROGASIL3278 ITAPETININGA BRA,Saúde
2025-12-07,LojasRiachuelo 01/03,153.33,2026-01,1,3,01/03,LojasRiachuelo,Compras & Casa
2025-12-07,ASHUA 01/04,69.95,2026-01,1,4,01/04,ASHUA,Compras & Casa
2025-12-07,FAZENDA IMPERIAL DE AR SOROCABA BRA,302.47,2026-01,,,,FAZENDA IMPERIAL DE AR SOROCABA BRA,Compras & Casa
2025-12-06,MARAVILHAS DO LAR 01/03,100.6,2026-01,1,3,01/03,MARAVILHAS DO LAR,Compras & Casa
2025-12-06,MARIA BONITA CALCA01/03,60.0,2026-01,1,3,01/03,MARIA BONITA CALCA,Compras & Casa
2025-12-06,MAC SHOW 01/02,90.0,2026-01,1,2,01/02,MAC SHOW,Streaming/Assinaturas
2025-12-06,PGCONTA CENTRO INT01/03,385.37,2026-01,1,3,01/03,PGCONTA CENTRO INT,Compras & Casa
2025-12-06,Microsoft*Subscription Sao Paulo BRA,59.9,2026-01,,,,Microsoft*Subscription Sao Paulo BRA,Streaming/Assinaturas
2025-12-06,TOP PRESENTES ITAPETININGA BRA,30.0,2026-01,,,,TOP PRESENTES ITAPETININGA BRA,Compras & Casa
2025-12-06,MEU ESTILO ITAPETININGA BRA,75.0,2026-01,,,,MEU ESTILO ITAPETININGA BRA,Compras & Casa
2025-12-06,MINI MONEY PRESENTES ITAPETININGA BRA,58.0,2026-01,,,,MINI MONEY PRESENTES ITAPETININGA BRA,Compras & Casa
2025-12-06,GIOVANA VIEIRA DE OLIV ITAPETININGA BRA,87.9,2026-01,,,,GIOVANA VIEIRA DE OLIV ITAPETININGA BRA,Compras & Casa
2025-12-06,FNP SP ITAPETININGA ITAPETININGA BRA,29.99,2026-01,,,,FNP SP ITAPETININGA ITAPETININGA BRA,Compras & Casa
2025-12-05,DECATHLON 01/05,90.01,2026-01,1,5,01/05,DECATHLON,Compras & Casa
2025-12-05,LojasRiachuelo 01/03,186.65,2026-01,1,3,01/03,LojasRiachuelo,Compras & Casa
2025-12-05,NUTTY BAVARIAN VOTORANTIM BRA,26.0,2026-01,,,,NUTTY BAVARIAN VOTORANTIM BRA,Compras & Casa
2025-12-04,IOF COMPRA INTERNACIONAL,3.93,2026-01,,,,IOF COMPRA INTERNACIONAL,Bancos & Tarifas
2025-12-03,OPENAI *CHATGPT SUBSCR SAN FRANCISCO USA,112.4,2026-01,,,,OPENAI *CHATGPT SUBSCR SAN FRANCISCO USA,Streaming/Assinaturas
2025-11-27,MERCADOLIVRE*DRIPP02/03So Jos do Ri BRA,45.68,2026-01,2,3,02/03,MERCADOLIVRE*DRIPP So Jos do Ri BRA,Compras & Casa
2025-11-27,NA 02/02ITAPETININGA 076,72.39,2026-01,2,2,02/02,NA ITAPETININGA 076,Transporte
2025-11-26,MERCADOLIVRE*3PROD02/04SAO PAULO BRA,65.02,2026-01,2,4,02/04,MERCADOLIVRE*3PROD SAO PAULO BRA,Compras & Casa
2025-11-17,AMAZON BR 02/05SAO PAULO BRA,83.37,2026-01,2,5,02/05,AMAZON BR SAO PAULO BRA,Compras & Casa
2025-11-17,PG *NUVEM FLORDECR02/02JUIZ DE FORA BRA,65.6,2026-01,2,2,02/02,PG *NUVEM FLORDECR JUIZ DE FORA BRA,Compras & Casa
2025-11-16,HAVAN ITAPETININGA02/03ITAPETININGA BRA,133.32,2026-01,2,3,02/03,HAVAN ITAPETININGA ITAPETININGA BRA,Compras & Casa
2025-11-13,MERCADOLIVRE*EBAZARCO Osasco BRA,-0.02,2026-01,,,,MERCADOLIVRE*EBAZARCO Osasco BRA,Reembolsos & Créditos
2025-11-13,MERCADOLIVRE*EBAZA02/03Osasco BRA,92.34,2026-01,2,3,02/03,MERCADOLIVRE*EBAZA Osasco BRA,Compras & Casa
2025-11-11,AgroverdeSr 02/03ITAPETININGA BRA,80.29,2026-01,2,3,02/03,AgroverdeSr ITAPETININGA BRA,Pets
2025-11-11,PIX HAVAN FUNDO DE02/02STIMENTO EM DIRE,284.68,2026-01,2,2,02/02,PIX HAVAN FUNDO DE STIMENTO EM DIRE,Compras & Casa
2025-11-11,AgroverdeSr ITAPETININGA BRA,-0.02,2026-01,,,,AgroverdeSr ITAPETININGA BRA,Reembolsos & Créditos
2025-11-10,SHEIN *SHEIN.COM 02/02Vila Olimpia BRA,73.1,2026-01,2,2,02/02,SHEIN *SHEIN.COM Vila Olimpia BRA,Compras & Casa
2025-11-10,EVO*Centro de Esp 02/06Itapetininga BRA,378.35,2026-01,2,6,02/06,EVO*Centro de Esp Itapetininga BRA,Educação
2025-11-10,EVO*Centro de Esp Itapetininga BRA,-0.1,2026-01,,,,EVO*Centro de Esp Itapetininga BRA,Reembolsos & Créditos
2025-11-09,RAIA DROGASIL SA 02/02ITAPETININGA BRA,147.54,2026-01,2,2,02/02,RAIA DROGASIL SA ITAPETININGA BRA,Saúde
2025-11-08,MERCADO*MERCADOLIV02/03JANDIRA BRA,46.22,2026-01,2,3,02/03,MERCADO*MERCADOLIV JANDIRA BRA,Compras & Casa
2025-11-08,MERCADO*MERCADOLIVRE JANDIRA BRA,-0.04,2026-01,,,,MERCADO*MERCADOLIVRE JANDIRA BRA,Reembolsos & Créditos
2025-11-07,MERCADOLIVRE*MERCA02/06SAO PAULO BRA,484.6,2026-01,2,6,02/06,MERCADOLIVRE*MERCA SAO PAULO BRA,Compras & Casa
2025-11-07,MERCADOLIVRE*MERCADOL SAO PAULO BRA,-0.1,2026-01,,,,MERCADOLIVRE*MERCADOL SAO PAULO BRA,Reembolsos & Créditos
2025-11-06,RD SAUDE 02/03SAO PAULO BRA,484.73,2026-01,2,3,02/03,RD SAUDE SAO PAULO BRA,Saúde
2025-11-06,RD SAUDE SAO PAULO BRA,-0.04,2026-01,,,,RD SAUDE SAO PAULO BRA,Reembolsos & Créditos
2025-11-03,HTM *asimovacad02/12Barueri BRA,167.01,2026-01,2,12,02/12,HTM *asimovacad Barueri BRA,Educação
2025-10-10,PARCELAMEN FATURA 03/04,382.78,2026-01,3,4,03/04,PARCELAMEN FATURA,Bancos & Tarifas
2025-09-25,NsOftalmologia 04/10ARACOIABA DA BR,300.0,2026-01,4,10,04/10,NsOftalmologia ARACOIABA DA BR,Saúde
2025-06-11,Produtos Globo 07/12RJ BR,14.96,2026-01,7,12,07/12,Produtos Globo RJ BR,Streaming/Assinaturas
2025-05-02,EBN *Canva0450409/12CURITIBA BR,24.25,2026-01,9,12,09/12,EBN *Canva04504 CURITIBA BR,Streaming/Assinaturas
2025-04-06,PRODUTOS GLOBO 09/12RIO DE JANEIR BR,17.9,2026-01,9,12,09/12,PRODUTOS GLOBO RIO DE JANEIR BR,Streaming/Assinaturas
2025-03-06,Passei Direto S/ 10/12Rio Janeiro BR,19.9,2026-01,10,12,10/12,Passei Direto S/ Rio Janeiro BR,Educação
